GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mutant-detector,com.horacio.mutant.service,MutantDetector4Letters,295,0,54,0,80,0,34,0,7,0
mutant-detector,com.horacio.mutant.service,MutantDetector4Letters.CharCount,19,0,0,0,7,0,2,0,2,0
mutant-detector,com.horacio.mutant.service,DetectionResult,119,0,18,0,7,0,18,0,9,0
mutant-detector,com.horacio.mutant.service,DnaIdBuilderSHA256,11,0,0,0,5,0,2,0,2,0
mutant-detector,com.horacio.mutant.service,DnaService,99,0,0,0,23,0,3,0,3,0
mutant-detector,com.horacio.mutant.repository,DnaModel.DnaModelBuilder,50,0,0,0,1,0,6,0,6,0
mutant-detector,com.horacio.mutant.repository,DnaModel,172,0,26,0,7,0,26,0,13,0
mutant-detector,com.horacio.mutant.web,MutantRequest,69,0,8,0,2,0,11,0,7,0
mutant-detector,com.horacio.mutant.web,MutantResponse,142,0,12,0,4,0,17,0,11,0
mutant-detector,com.horacio.mutant,MutantHandler,3,0,0,0,1,0,1,0,1,0
mutant-detector,com.horacio.mutant,MutantDetectorApplication.Stats,136,0,12,0,4,0,17,0,11,0
mutant-detector,com.horacio.mutant,MutantDetectorApplication,27,0,2,0,8,0,5,0,4,0
